millis,stamp,datetime,temp
255998,1497825457, 2019/6/18 22:37:37,18.2
257000,1497825458, 2019/6/18 22:37:38,18.3
257999,1497825459, 2019/6/18 22:37:39,18.3
259000,1497825460, 2019/6/18 22:37:40,18.3
259999,1497825461, 2019/6/18 22:37:41,18.2
260999,1497825462, 2019/6/18 22:37:42,18.2
261999,1497825463, 2019/6/18 22:37:43,18.3
262999,1497825464, 2019/6/18 22:37:44,18.3
264000,1497825465, 2019/6/18 22:37:45,18.2
264999,1497825466, 2019/6/18 22:37:46,18.2
266000,1497825467, 2019/6/18 22:37:47,18.2
267000,1497825468, 2019/6/18 22:37:48,18.2
267999,1497825469, 2019/6/18 22:37:49,18.2
268998,1497825470, 2019/6/18 22:37:50,18.2
269999,1497825471, 2019/6/18 22:37:51,18.2
271000,1497825472, 2019/6/18 22:37:52,18.2
272000,1497825473, 2019/6/18 22:37:53,18.2
272999,1497825474, 2019/6/18 22:37:54,18.2
273999,1497825475, 2019/6/18 22:37:55,18.2
274999,1497825476, 2019/6/18 22:37:56,18.2
275999,1497825477, 2019/6/18 22:37:57,18.2
276999,1497825478, 2019/6/18 22:37:58,18.2
277999,1497825479, 2019/6/18 22:37:59,18.2
278999,1497825480, 2019/6/18 22:38:0,18.2
280000,1497825481, 2019/6/18 22:38:1,18.2
280998,1497825482, 2019/6/18 22:38:2,18.2
282000,1497825483, 2019/6/18 22:38:3,18.2
283000,1497825484, 2019/6/18 22:38:4,18.2
283999,1497825485, 2019/6/18 22:38:5,18.2
284999,1497825486, 2019/6/18 22:38:6,18.2
285999,1497825487, 2019/6/18 22:38:7,18.2
286999,1497825488, 2019/6/18 22:38:8,18.2
287998,1497825489, 2019/6/18 22:38:9,18.2
288999,1497825490, 2019/6/18 22:38:10,18.2
289999,1497825491, 2019/6/18 22:38:11,18.2
290999,1497825492, 2019/6/18 22:38:12,18.2
291998,1497825493, 2019/6/18 22:38:13,18.2
293000,1497825494, 2019/6/18 22:38:14,18.2
293999,1497825495, 2019/6/18 22:38:15,18.2
294999,1497825496, 2019/6/18 22:38:16,18.2
295998,1497825497, 2019/6/18 22:38:17,18.2
296998,1497825498, 2019/6/18 22:38:18,18.2
297999,1497825499, 2019/6/18 22:38:19,18.2
299000,1497825500, 2019/6/18 22:38:20,18.2
300000,1497825501, 2019/6/18 22:38:21,18.2
300999,1497825502, 2019/6/18 22:38:22,18.2
301999,1497825503, 2019/6/18 22:38:23,18.2
302999,1497825504, 2019/6/18 22:38:24,18.2
303998,1497825505, 2019/6/18 22:38:25,18.2
304999,1497825506, 2019/6/18 22:38:26,18.2
305999,1497825507, 2019/6/18 22:38:27,18.2
306999,1497825508, 2019/6/18 22:38:28,18.2
308000,1497825509, 2019/6/18 22:38:29,18.2
309000,1497825510, 2019/6/18 22:38:30,18.2
309999,1497825511, 2019/6/18 22:38:31,18.2
311000,1497825512, 2019/6/18 22:38:32,18.2
311999,1497825513, 2019/6/18 22:38:33,18.2
312998,1497825514, 2019/6/18 22:38:34,18.2
313999,1497825515, 2019/6/18 22:38:35,18.2
314999,1497825516, 2019/6/18 22:38:36,18.2
316000,1497825517, 2019/6/18 22:38:37,18.2
316999,1497825518, 2019/6/18 22:38:38,18.2
318000,1497825519, 2019/6/18 22:38:39,18.2
318998,1497825520, 2019/6/18 22:38:40,18.2
320000,1497825521, 2019/6/18 22:38:41,18.2
320999,1497825522, 2019/6/18 22:38:42,18.2
321998,1497825523, 2019/6/18 22:38:43,18.2
322998,1497825524, 2019/6/18 22:38:44,18.2
323999,1497825525, 2019/6/18 22:38:45,18.2
325000,1497825526, 2019/6/18 22:38:46,18.2
325999,1497825527, 2019/6/18 22:38:47,18.2
326999,1497825528, 2019/6/18 22:38:48,18.2
327998,1497825529, 2019/6/18 22:38:49,18.3
328999,1497825530, 2019/6/18 22:38:50,18.3
330000,1497825531, 2019/6/18 22:38:51,18.2
330998,1497825532, 2019/6/18 22:38:52,18.2
331999,1497825533, 2019/6/18 22:38:53,18.2
332998,1497825534, 2019/6/18 22:38:54,18.2
333999,1497825535, 2019/6/18 22:38:55,18.2
335000,1497825536, 2019/6/18 22:38:56,18.3
335998,1497825537, 2019/6/18 22:38:57,18.3
336999,1497825538, 2019/6/18 22:38:58,18.3
337999,1497825539, 2019/6/18 22:38:59,18.3
338999,1497825540, 2019/6/18 22:39:0,18.3
339999,1497825541, 2019/6/18 22:39:1,18.3
340999,1497825542, 2019/6/18 22:39:2,18.3
341998,1497825543, 2019/6/18 22:39:3,18.3
342999,1497825544, 2019/6/18 22:39:4,18.3
344000,1497825545, 2019/6/18 22:39:5,18.3
344999,1497825546, 2019/6/18 22:39:6,18.3
345999,1497825547, 2019/6/18 22:39:7,18.3
346999,1497825548, 2019/6/18 22:39:8,18.3
347999,1497825549, 2019/6/18 22:39:9,18.3
348998,1497825550, 2019/6/18 22:39:10,18.3
349999,1497825551, 2019/6/18 22:39:11,18.3
350999,1497825552, 2019/6/18 22:39:12,18.3
352000,1497825553, 2019/6/18 22:39:13,18.3
353000,1497825554, 2019/6/18 22:39:14,18.3
353999,1497825555, 2019/6/18 22:39:15,18.3
355000,1497825556, 2019/6/18 22:39:16,18.3
355999,1497825557, 2019/6/18 22:39:17,18.3
356999,1497825558, 2019/6/18 22:39:18,18.3
357998,1497825559, 2019/6/18 22:39:19,18.3
358999,1497825560, 2019/6/18 22:39:20,18.3
360000,1497825561, 2019/6/18 22:39:21,18.3
360998,1497825562, 2019/6/18 22:39:22,18.3
362000,1497825563, 2019/6/18 22:39:23,18.3
362999,1497825564, 2019/6/18 22:39:24,18.3
363999,1497825565, 2019/6/18 22:39:25,18.3
364999,1497825566, 2019/6/18 22:39:26,18.3
365999,1497825567, 2019/6/18 22:39:27,18.3
366999,1497825568, 2019/6/18 22:39:28,18.3
367998,1497825569, 2019/6/18 22:39:29,18.3
368999,1497825570, 2019/6/18 22:39:30,18.3
369998,1497825571, 2019/6/18 22:39:31,18.3
370999,1497825572, 2019/6/18 22:39:32,18.3
371999,1497825573, 2019/6/18 22:39:33,18.3
372999,1497825574, 2019/6/18 22:39:34,18.3
373999,1497825575, 2019/6/18 22:39:35,18.3
375000,1497825576, 2019/6/18 22:39:36,18.3
375999,1497825577, 2019/6/18 22:39:37,18.3
376998,1497825578, 2019/6/18 22:39:38,18.3
377999,1497825579, 2019/6/18 22:39:39,18.3
378999,1497825580, 2019/6/18 22:39:40,18.3
379999,1497825581, 2019/6/18 22:39:41,18.3
380999,1497825582, 2019/6/18 22:39:42,18.3
381999,1497825583, 2019/6/18 22:39:43,18.3
382999,1497825584, 2019/6/18 22:39:44,18.3
383998,1497825585, 2019/6/18 22:39:45,18.3
384999,1497825586, 2019/6/18 22:39:46,18.3
385999,1497825587, 2019/6/18 22:39:47,18.3
386999,1497825588, 2019/6/18 22:39:48,18.3
387999,1497825589, 2019/6/18 22:39:49,18.3
388999,1497825590, 2019/6/18 22:39:50,18.3
389999,1497825591, 2019/6/18 22:39:51,18.3
390999,1497825592, 2019/6/18 22:39:52,18.3
392000,1497825593, 2019/6/18 22:39:53,18.3
392998,1497825594, 2019/6/18 22:39:54,18.3
394000,1497825595, 2019/6/18 22:39:55,18.3
394999,1497825596, 2019/6/18 22:39:56,18.3
396000,1497825597, 2019/6/18 22:39:57,18.3
396999,1497825598, 2019/6/18 22:39:58,18.3
398000,1497825599, 2019/6/18 22:39:59,18.3
398999,1497825600, 2019/6/18 22:40:0,18.3
400000,1497825601, 2019/6/18 22:40:1,18.3
401000,1497825602, 2019/6/18 22:40:2,18.4
401999,1497825603, 2019/6/18 22:40:3,18.4
402999,1497825605, 2019/6/18 22:40:5,18.4
403998,1497825605, 2019/6/18 22:40:5,18.3
404999,1497825607, 2019/6/18 22:40:7,18.3
405999,1497825608, 2019/6/18 22:40:8,18.3
406999,1497825609, 2019/6/18 22:40:9,18.3
407998,1497825610, 2019/6/18 22:40:10,18.3
408998,1497825611, 2019/6/18 22:40:11,18.3
410000,1497825612, 2019/6/18 22:40:12,18.3
410999,1497825613, 2019/6/18 22:40:13,18.3
411999,1497825614, 2019/6/18 22:40:14,18.3
412999,1497825615, 2019/6/18 22:40:15,18.3
413999,1497825616, 2019/6/18 22:40:16,18.3
415000,1497825617, 2019/6/18 22:40:17,18.4
415998,1497825618, 2019/6/18 22:40:18,18.4
417000,1497825619, 2019/6/18 22:40:19,18.3
417999,1497825620, 2019/6/18 22:40:20,18.3
419000,1497825621, 2019/6/18 22:40:21,18.3
419999,1497825622, 2019/6/18 22:40:22,18.4
420999,1497825623, 2019/6/18 22:40:23,18.4
421999,1497825624, 2019/6/18 22:40:24,18.3
422999,1497825625, 2019/6/18 22:40:25,18.3
424000,1497825626, 2019/6/18 22:40:26,18.3
424999,1497825627, 2019/6/18 22:40:27,18.3
425999,1497825628, 2019/6/18 22:40:28,18.3
426999,1497825629, 2019/6/18 22:40:29,18.3
427999,1497825630, 2019/6/18 22:40:30,18.3
428998,1497825631, 2019/6/18 22:40:31,18.3
429999,1497825632, 2019/6/18 22:40:32,18.3
430999,1497825633, 2019/6/18 22:40:33,18.3
432000,1497825634, 2019/6/18 22:40:34,18.3
432999,1497825635, 2019/6/18 22:40:35,18.3
433998,1497825636, 2019/6/18 22:40:36,18.3
434999,1497825637, 2019/6/18 22:40:37,18.3
435998,1497825638, 2019/6/18 22:40:38,18.4
436999,1497825639, 2019/6/18 22:40:39,18.4
437998,1497825640, 2019/6/18 22:40:40,18.4
438999,1497825641, 2019/6/18 22:40:41,18.3
439999,1497825642, 2019/6/18 22:40:42,18.3
440999,1497825643, 2019/6/18 22:40:43,18.3
441999,1497825644, 2019/6/18 22:40:44,18.3
442999,1497825645, 2019/6/18 22:40:45,18.3
444000,1497825646, 2019/6/18 22:40:46,18.3
444998,1497825647, 2019/6/18 22:40:47,18.3
446000,1497825648, 2019/6/18 22:40:48,18.3
446999,1497825649, 2019/6/18 22:40:49,18.3
447998,1497825650, 2019/6/18 22:40:50,18.3
448999,1497825651, 2019/6/18 22:40:51,18.3
449999,1497825652, 2019/6/18 22:40:52,18.3
450999,1497825653, 2019/6/18 22:40:53,18.3
451998,1497825654, 2019/6/18 22:40:54,18.3
452999,1497825655, 2019/6/18 22:40:55,18.3
453999,1497825656, 2019/6/18 22:40:56,18.3
454999,1497825657, 2019/6/18 22:40:57,18.4
455999,1497825658, 2019/6/18 22:40:58,18.4
456998,1497825659, 2019/6/18 22:40:59,18.3
457999,1497825660, 2019/6/18 22:41:0,18.3
458999,1497825661, 2019/6/18 22:41:1,18.3
460000,1497825662, 2019/6/18 22:41:2,18.3
460998,1497825663, 2019/6/18 22:41:3,18.3
462000,1497825664, 2019/6/18 22:41:4,18.3
462999,1497825665, 2019/6/18 22:41:5,18.3
464000,1497825666, 2019/6/18 22:41:6,18.3
464999,1497825667, 2019/6/18 22:41:7,18.3
465998,1497825668, 2019/6/18 22:41:8,18.3
466999,1497825669, 2019/6/18 22:41:9,18.3
467999,1497825670, 2019/6/18 22:41:10,18.3
468999,1497825671, 2019/6/18 22:41:11,18.4
469999,1497825672, 2019/6/18 22:41:12,18.4
470999,1497825673, 2019/6/18 22:41:13,18.3
471999,1497825674, 2019/6/18 22:41:14,18.3
472999,1497825675, 2019/6/18 22:41:15,18.3
474000,1497825676, 2019/6/18 22:41:16,18.3
474998,1497825677, 2019/6/18 22:41:17,18.3
476000,1497825678, 2019/6/18 22:41:18,18.3
476999,1497825679, 2019/6/18 22:41:19,18.3
477999,1497825680, 2019/6/18 22:41:20,18.3
478999,1497825681, 2019/6/18 22:41:21,18.3
479998,1497825682, 2019/6/18 22:41:22,18.3
480999,1497825683, 2019/6/18 22:41:23,18.3
481999,1497825684, 2019/6/18 22:41:24,18.3
483000,1497825685, 2019/6/18 22:41:25,18.3
483999,1497825686, 2019/6/18 22:41:26,18.3
484999,1497825687, 2019/6/18 22:41:27,18.3
485998,1497825688, 2019/6/18 22:41:28,18.3
487000,1497825689, 2019/6/18 22:41:29,18.3
487999,1497825690, 2019/6/18 22:41:30,18.3
488999,1497825691, 2019/6/18 22:41:31,18.3
490000,1497825692, 2019/6/18 22:41:32,18.3
490998,1497825693, 2019/6/18 22:41:33,18.3
492000,1497825694, 2019/6/18 22:41:34,18.3
492999,1497825695, 2019/6/18 22:41:35,18.3
493999,1497825696, 2019/6/18 22:41:36,18.3
494999,1497825697, 2019/6/18 22:41:37,18.3
496000,1497825698, 2019/6/18 22:41:38,18.3
496999,1497825699, 2019/6/18 22:41:39,18.3
497999,1497825700, 2019/6/18 22:41:40,18.3
499000,1497825701, 2019/6/18 22:41:41,18.3
499999,1497825702, 2019/6/18 22:41:42,18.3
500999,1497825703, 2019/6/18 22:41:43,18.3
501999,1497825704, 2019/6/18 22:41:44,18.3
502999,1497825705, 2019/6/18 22:41:45,18.3
503999,1497825706, 2019/6/18 22:41:46,18.3
504998,1497825707, 2019/6/18 22:41:47,18.3
506000,1497825708, 2019/6/18 22:41:48,18.3
506999,1497825709, 2019/6/18 22:41:49,18.3
508000,1497825710, 2019/6/18 22:41:50,18.3
508999,1497825711, 2019/6/18 22:41:51,18.3
509999,1497825712, 2019/6/18 22:41:52,18.3
511000,1497825713, 2019/6/18 22:41:53,18.3
511998,1497825714, 2019/6/18 22:41:54,18.3
512999,1497825715, 2019/6/18 22:41:55,18.3
513999,1497825716, 2019/6/18 22:41:56,18.3
514999,1497825717, 2019/6/18 22:41:57,18.3
515999,1497825718, 2019/6/18 22:41:58,18.3
516999,1497825719, 2019/6/18 22:41:59,18.3
517998,1497825720, 2019/6/18 22:42:0,18.3
519000,1497825721, 2019/6/18 22:42:1,18.3
519999,1497825722, 2019/6/18 22:42:2,18.3
520999,1497825723, 2019/6/18 22:42:3,18.3
521999,1497825724, 2019/6/18 22:42:4,18.3
522998,1497825725, 2019/6/18 22:42:5,18.3
523999,1497825726, 2019/6/18 22:42:6,18.3
524999,1497825727, 2019/6/18 22:42:7,18.3
525999,1497825728, 2019/6/18 22:42:8,18.3
526999,1497825729, 2019/6/18 22:42:9,18.3
528000,1497825730, 2019/6/18 22:42:10,18.3
529000,1497825731, 2019/6/18 22:42:11,18.3
529999,1497825732, 2019/6/18 22:42:12,18.3
530999,1497825733, 2019/6/18 22:42:13,18.3
531999,1497825734, 2019/6/18 22:42:14,18.3
532999,1497825735, 2019/6/18 22:42:15,18.3
533999,1497825736, 2019/6/18 22:42:16,18.3
534999,1497825737, 2019/6/18 22:42:17,18.3
536000,1497825738, 2019/6/18 22:42:18,18.3
536998,1497825739, 2019/6/18 22:42:19,18.3
537999,1497825740, 2019/6/18 22:42:20,18.3
538998,1497825741, 2019/6/18 22:42:21,18.3
540000,1497825742, 2019/6/18 22:42:22,18.3
540999,1497825743, 2019/6/18 22:42:23,18.2
